time,Nino34,WWV,NPMM,SPMM,IOB,IOD,SIOD,TNA,ATL3,SASD,month
1989-01-01,-1.8889412,0.51711345,-0.614109,-0.64189774,-0.17399348,-0.16092455,-0.17487788,-0.29927608,0.043910168,0.21583119,1
1989-02-01,-1.2665458,3.1044552,-0.53610307,-0.17478807,-0.20634829,0.44422936,0.012883294,-0.2634065,-0.16982175,0.051211584,2
1989-03-01,-1.2474767,5.6915817,-0.12078461,-0.2804471,-0.14183402,0.082172096,0.0032975115,-0.47484574,0.17326175,-0.030248594,3
1989-04-01,-1.1440799,7.745588,0.188832,-0.34296492,-0.29071465,-0.073121816,-0.21469936,-0.709059,0.2964238,0.16299301,4
1989-05-01,-0.9034069,8.841919,0.21240321,-0.47604242,-0.293123,-0.27887517,-0.33507654,-0.49904904,0.49775478,0.055523988,5
1989-06-01,-0.730265,8.692562,0.03798629,-0.3752374,-0.5248922,-0.58945936,-0.7212381,-0.12857021,0.44643405,0.070053734,6
1989-07-01,-0.5061823,7.4933963,-0.1191291,-0.41783467,-0.36876893,-0.29208633,-0.7190325,0.27157536,0.410365,0.27733472,7
1989-08-01,-0.53442425,6.430087,-0.24589771,-0.5042264,-0.3361984,-0.38186952,-0.7593476,0.32561973,0.41106093,0.17040688,8
1989-09-01,-0.5280559,6.535318,-0.3595986,-0.37083653,-0.2267211,-0.26980072,-0.7390653,-0.08806671,0.11292161,0.038228728,9
1989-10-01,-0.4633447,5.226834,-0.26865402,-0.25281265,-0.109820895,-0.08516233,-0.26748303,-0.049928352,0.028449576,0.16372916,10
1989-11-01,-0.51636654,5.014449,0.032855123,-0.16009352,0.0002766455,-0.16925432,-0.40648627,-0.18062824,-0.1837248,0.38884664,11
1989-12-01,-0.21083736,8.189274,0.24819402,0.21896295,0.1561747,0.027281534,-0.06438876,0.12994155,-0.39151752,0.7217119,12
1990-01-01,0.015882162,9.3632555,0.06910171,0.26762137,0.029031869,0.7167432,-0.07235902,-0.06459989,-0.51271623,0.5817204,1
1990-02-01,0.11431236,11.157965,-0.18368955,0.24798657,0.32329696,0.36684513,0.013663252,-0.09952645,-0.32672203,0.08153199,2
1990-03-01,0.05717851,10.495541,-0.05842542,0.09851996,0.13984416,0.2418381,-0.04173744,0.036431864,-0.49864492,0.16671665,3
1990-04-01,0.16158462,7.285082,0.3017694,0.08256297,-0.0035468033,-0.18392667,-0.053240277,0.13883446,-0.06678397,-0.172581,4
1990-05-01,0.2557105,4.4698644,0.26987153,-0.076874375,-0.030514795,-0.19369906,0.051809803,0.1055452,-0.13189322,-0.18177818,5
1990-06-01,0.031667456,2.6707916,0.13463402,-0.433531,-0.23097697,-0.31454238,-0.023863414,-0.030910296,0.124735124,-0.1560518,6
1990-07-01,0.09099311,4.5613413,0.243371,-0.5238391,-0.070077494,-0.17532338,0.3154569,0.052026976,-0.25889778,0.13639244,7
1990-08-01,0.22810107,5.1628556,0.32973054,-0.47498292,-0.1350432,-0.3153874,0.11363085,0.3090743,-0.13351594,0.12356514,8
1990-09-01,0.09783999,5.000598,0.32347646,-0.3164457,-0.105918795,-0.493748,0.046443082,0.38324124,-0.049967483,0.14858814,9
1990-10-01,0.22212777,5.6160054,0.35102713,-0.4301579,-0.082411736,-0.5322101,-0.010895461,0.24098867,0.030310618,0.42715886,10
1990-11-01,0.1400013,4.1739283,0.28802744,-0.6847808,0.027051546,-0.057993203,0.27106807,0.21260329,0.22879642,0.068307124,11
1990-12-01,0.3641726,6.598474,0.24436381,-0.40731183,0.20883082,0.04633968,0.24618357,0.22916424,0.24389982,-0.39459965,12
1991-01-01,0.539329,7.03701,0.34473315,-0.32890743,0.18098372,0.14771006,0.3751113,-0.062139504,0.20824093,0.22684027,1
1991-02-01,0.33706456,5.8754063,0.49201462,-0.6538494,0.19390336,-0.0016335152,0.5228887,-0.0033984245,0.20925725,0.5060855,2
1991-03-01,0.060772616,4.7216625,0.34056303,-0.89347464,0.23284504,0.015577801,0.55012673,-0.19742136,0.35390928,0.686499,3
1991-04-01,0.19222055,5.2032704,0.11501142,-0.528155,0.29349446,0.67588717,0.68659616,-0.19859867,0.31587827,0.26792407,4
1991-05-01,0.46227947,7.571098,-0.0023599507,-0.19528958,0.38125032,0.7958316,0.43326437,-0.353671,0.610623,0.12481895,5
1991-06-01,0.7705233,7.206739,0.0032582213,-0.013687803,0.24556391,0.15083727,0.3781715,-0.34851867,1.0447503,0.051898174,6
1991-07-01,0.7953451,8.328115,0.0023663954,0.0892258,0.18923597,-0.0433165,0.16014406,-0.40654713,0.6907649,0.047620848,7
1991-08-01,0.57324004,7.1238403,0.008052019,-0.28964856,0.05609615,0.08961164,0.2962529,-0.32076192,0.24463734,0.31958187,8
1991-09-01,0.47028506,6.0074773,0.023554089,-0.34531605,-0.032517605,0.36317748,0.41012648,-0.094622165,-0.34579915,0.40741318,9
